name,age,occupation,location,country,lat,lng,dod,source
Janice Graham,58,Nurse,Scotland,United Kingdom,56.49067119999999,-4.2026458,2020-04-06,uk_and_medscape
Joan Grimshaw,89,Retired,NA,United Kingdom,55.378051,-3.435973,2020-04-01,uk_and_medscape
Simon Guest,NA,Other Medical,England,United Kingdom,52.3555177,-1.1743197,NA,uk_and_medscape
Joselito Habab,NA,Nurse,England,United Kingdom,52.3555177,-1.1743197,2020-05-20,uk_and_medscape
Peter Hart,52,Other Medical,England,United Kingdom,52.3555177,-1.1743197,2020-05-12,uk_and_medscape
Thomas Harvey,57,Other Medical,England,United Kingdom,52.3555177,-1.1743197,2020-03-29,uk_and_medscape
Van Lang Hoang,NA,Doctor,England,United Kingdom,52.3555177,-1.1743197,2020-04-14,uk_and_medscape
Andy Howe,48,Other,England,United Kingdom,52.3555177,-1.1743197,2020-03-26,uk_and_medscape
Thaung Htaik,60,Doctor,England,United Kingdom,52.3555177,-1.1743197,NA,uk_and_medscape
Karen Hutton,58,Other Medical,Scotland,United Kingdom,56.49067119999999,-4.2026458,2020-04-28,uk_and_medscape
Khalid Jamil,57,Other Medical,England,United Kingdom,52.3555177,-1.1743197,2020-04-14,uk_and_medscape
Kirsty Jones,41,Other Medical,Scotland,United Kingdom,56.49067119999999,-4.2026458,2020-04-20,uk_and_medscape
Jane Mary Jongwe,NA,Nurse,England,United Kingdom,52.3555177,-1.1743197,2020-04-26,uk_and_medscape
Nick Joseph,NA,Other,England,United Kingdom,52.3555177,-1.1743197,NA,uk_and_medscape
Paul Kabasele,NA,Doctor,England,United Kingdom,52.3555177,-1.1743197,NA,uk_and_medscape
Tony Kabia,58,Other,England,United Kingdom,52.3555177,-1.1743197,2020-04-23,uk_and_medscape
Rajesh Kalraiya,68,Doctor,England,United Kingdom,52.3555177,-1.1743197,2020-04-15,uk_and_medscape
Nasir Khan,NA,Doctor,England,United Kingdom,52.3555177,-1.1743197,2020-04-29,uk_and_medscape
Oscar King Jr,NA,Other,England,United Kingdom,52.3555177,-1.1743197,2020-04-11,uk_and_medscape
Joanna Klenczon,34,Other,England,United Kingdom,52.3555177,-1.1743197,2020-04-09,uk_and_medscape
Grace Kungwengwe,NA,Other Medical,England,United Kingdom,52.3555177,-1.1743197,2020-04-19,uk_and_medscape
Eric Labeja-Acellam,69,Doctor,England,United Kingdom,52.3555177,-1.1743197,2020-03-31,uk_and_medscape
Ken Lambatan,34,Doctor,England,United Kingdom,52.3555177,-1.1743197,2020-04-27,uk_and_medscape
Eileen Landers,67,Other,England,United Kingdom,52.3555177,-1.1743197,2020-04-26,uk_and_medscape
Ray Lever,62,Other,England,United Kingdom,52.3555177,-1.1743197,2020-05-01,uk_and_medscape
Suzanne Loverseed,63,Other Medical,England,United Kingdom,52.3555177,-1.1743197,2020-04-29,uk_and_medscape
Rebecca Mack,29,Nurse,England,United Kingdom,52.3555177,-1.1743197,2020-04-05,uk_and_medscape
Grant Maganga,56,Doctor,England,United Kingdom,52.3555177,-1.1743197,2020-04-20,uk_and_medscape
Samson Maja,NA,Nurse,England,United Kingdom,52.3555177,-1.1743197,NA,uk_and_medscape
Resy Manalo,64,Nurse,England,United Kingdom,52.3555177,-1.1743197,2020-05-07,uk_and_medscape
Dawn Marshall,NA,Other,England,United Kingdom,52.3555177,-1.1743197,NA,uk_and_medscape
Kamlesh Kumar Masson,78,Doctor,England,United Kingdom,52.3555177,-1.1743197,2020-04-16,uk_and_medscape
Jeanette McKenna,53,Other Medical,Scotland,United Kingdom,56.49067119999999,-4.2026458,NA,uk_and_medscape
Patrick McManus,60,Nurse,England,United Kingdom,52.3555177,-1.1743197,NA,uk_and_medscape
Leilani Medel,41,Nurse,Wales,United Kingdom,52.1306607,-3.7837117,2020-04-10,uk_and_medscape
Brian Mfula,51,Doctor,Wales,United Kingdom,52.1306607,-3.7837117,2020-04-17,uk_and_medscape
Melonie Mitchell,NA,Other,England,United Kingdom,52.3555177,-1.1743197,NA,uk_and_medscape
Miharajiya Mohideen,NA,Other Medical,England,United Kingdom,52.3555177,-1.1743197,2020-04-20,uk_and_medscape
Barbara Moore,54,Doctor,England,United Kingdom,52.3555177,-1.1743197,2020-04-06,uk_and_medscape
Lillian Mudzivare,42,Doctor,England,United Kingdom,52.3555177,-1.1743197,NA,uk_and_medscape
Gladys Mujajati,46,Doctor,England,United Kingdom,52.3555177,-1.1743197,NA,uk_and_medscape
Rutendo Mukotsanjera,45,Doctor,England,United Kingdom,52.3555177,-1.1743197,NA,uk_and_medscape
Ruben Muñoz Jr,49,Other Medical,England,United Kingdom,52.3555177,-1.1743197,2020-04-17,uk_and_medscape
Poornima Nair,56,Doctor,England,United Kingdom,52.3555177,-1.1743197,2020-05-12,uk_and_medscape
Areema Nasreen,36,Nurse,England,United Kingdom,52.3555177,-1.1743197,2020-04-03,uk_and_medscape
Evelyn Nicolas,NA,Other Medical,England,United Kingdom,52.3555177,-1.1743197,2020-05-14,uk_and_medscape
Khulisani Nkala,46,Doctor,England,United Kingdom,52.3555177,-1.1743197,2020-04-17,uk_and_medscape
Paul Nutt,60,Other Medical,England,United Kingdom,52.3555177,-1.1743197,NA,uk_and_medscape
Andrew Ekene Nwankwo,46,Nurse,England,United Kingdom,52.3555177,-1.1743197,2020-05-16,uk_and_medscape
Gill Oakes,NA,Other Medical,England,United Kingdom,52.3555177,-1.1743197,2020-04-30,uk_and_medscape
Onyenachi Obasi,51,Nurse,England,United Kingdom,52.3555177,-1.1743197,2020-05-06,uk_and_medscape
Thomas Oelmann,57,Doctor,England,United Kingdom,52.3555177,-1.1743197,2020-04-23,uk_and_medscape
Eyitolami Olaolorun,60,Nurse,England,United Kingdom,52.3555177,-1.1743197,NA,uk_and_medscape
Julie Omar,52,Nurse,England,United Kingdom,52.3555177,-1.1743197,2020-04-10,uk_and_medscape
"Alice ""Kit"" Tak Ong",70,Nurse,England,United Kingdom,52.3555177,-1.1743197,2020-04-07,uk_and_medscape
Aimee O'Rourke,39,Nurse,England,United Kingdom,52.3555177,-1.1743197,2020-04-02,uk_and_medscape
Hamza Pacheeri,80,Retired,NA,United Kingdom,55.378051,-3.435973,2020-04-01,uk_and_medscape
Steven Pearson,51,Doctor,England,United Kingdom,52.3555177,-1.1743197,2020-04-13,uk_and_medscape
Julie Penfold,53,Nurse,England,United Kingdom,52.3555177,-1.1743197,NA,uk_and_medscape
Emily Perugia,29,Other Medical,England,United Kingdom,52.3555177,-1.1743197,2020-04-05,uk_and_medscape
Lalaine Lopez Pesario,54,Nurse,Wales,United Kingdom,52.1306607,-3.7837117,2020-05-03,uk_and_medscape
Mark Piggott,57,Other,England,United Kingdom,52.3555177,-1.1743197,2020-05-01,uk_and_medscape
Maria Victoria Prado,NA,Nurse,England,United Kingdom,52.3555177,-1.1743197,NA,uk_and_medscape
Vishna Rasiah,48,Doctor,England,United Kingdom,52.3555177,-1.1743197,NA,uk_and_medscape
Jitendra Rathod,62,Doctor,NA,United Kingdom,55.378051,-3.435973,2020-04-06,uk_and_medscape
Ade Raymond,48,Other Medical,England,United Kingdom,52.3555177,-1.1743197,2020-04-15,uk_and_medscape
Phil Rennie,NA,Other Medical,England,United Kingdom,52.3555177,-1.1743197,2020-05-10,uk_and_medscape
Ian Reynolds,53,Other Medical,England,United Kingdom,52.3555177,-1.1743197,NA,uk_and_medscape
Elbert Rico,NA,Other,England,United Kingdom,52.3555177,-1.1743197,2020-04-10,uk_and_medscape
Manjeet Singh Riyat,52,Doctor,England,United Kingdom,52.3555177,-1.1743197,2020-04-20,uk_and_medscape
Gareth Roberts,65,Nurse,Wales,United Kingdom,52.1306607,-3.7837117,2020-04-11,uk_and_medscape
Neil Ruch,NA,Other Medical,England,United Kingdom,52.3555177,-1.1743197,2020-05-18,uk_and_medscape
Alfa Saadu,68,Retired,England,United Kingdom,52.3555177,-1.1743197,2020-03-31,uk_and_medscape
Jennie Sablayan,NA,Nurse,England,United Kingdom,52.3555177,-1.1743197,2020-05-05,uk_and_medscape
Barbara Sage,68,Doctor,England,United Kingdom,52.3555177,-1.1743197,2020-04-12,uk_and_medscape
Julius Sana,40,Other Medical,Wales,United Kingdom,52.1306607,-3.7837117,2020-04-26,uk_and_medscape
Alice Sarupinda,NA,Nurse,England,United Kingdom,52.3555177,-1.1743197,NA,uk_and_medscape
Elsie Sazuze,44,Nurse,England,United Kingdom,52.3555177,-1.1743197,2020-04-08,uk_and_medscape
Anton Sebastianpillai,70,Doctor,NA,United Kingdom,55.378051,-3.435973,2020-04-04,uk_and_medscape
Tariq Shafi,61,Doctor,England,United Kingdom,52.3555177,-1.1743197,NA,uk_and_medscape
Liz Shale,61,Other,England,United Kingdom,52.3555177,-1.1743197,2020-04-09,uk_and_medscape
Pooja Sharma,33,Other Medical,England,United Kingdom,52.3555177,-1.1743197,2020-03-26,uk_and_medscape
Vivek Sharma,58,Other Medical,England,United Kingdom,52.3555177,-1.1743197,2020-04-17,uk_and_medscape
Ann Shepherd,80,Other Medical,England,United Kingdom,52.3555177,-1.1743197,NA,uk_and_medscape
Carlos Sia,62,Other Medical,England,United Kingdom,52.3555177,-1.1743197,2020-05-15,uk_and_medscape
Furqan Ali Siddiqui,50,Doctor,England,United Kingdom,52.3555177,-1.1743197,2020-04-30,uk_and_medscape
Mandy Siddorn,61,Other Medical,England,United Kingdom,52.3555177,-1.1743197,2020-04-09,uk_and_medscape
Rahima Bibi Sidhanee,68,Nurse,England,United Kingdom,52.3555177,-1.1743197,2020-04-12,uk_and_medscape
Felicity Siyachitema,51,Nurse,England,United Kingdom,52.3555177,-1.1743197,2020-04-21,uk_and_medscape
Kevin Smith,NA,Other,England,United Kingdom,52.3555177,-1.1743197,2020-04-12,uk_and_medscape
Liz Spooner,62,Nurse,Wales,United Kingdom,52.1306607,-3.7837117,NA,uk_and_medscape
Andy Stamp,65,Other,England,United Kingdom,52.3555177,-1.1743197,2020-04-16,uk_and_medscape
Mark Stanley,57,Other Medical,England,United Kingdom,52.3555177,-1.1743197,2020-04-30,uk_and_medscape
Donald Suelto,51,Nurse,England,United Kingdom,52.3555177,-1.1743197,2020-04-07,uk_and_medscape
Laura Tanner,51,Other,England,United Kingdom,52.3555177,-1.1743197,2020-04-01,uk_and_medscape
Charles Kwame Tanor,NA,Other Medical,NA,United Kingdom,55.378051,-3.435973,2020-04-11,uk_and_medscape
Margaret Tapley,84,Nurse,England,United Kingdom,52.3555177,-1.1743197,2020-04-19,uk_and_medscape
Jun Terre,52,Other Medical,England,United Kingdom,52.3555177,-1.1743197,2020-05-14,uk_and_medscape
Graham Thorne,58,Other,England,United Kingdom,52.3555177,-1.1743197,2020-04-20,uk_and_medscape
Andrew Treble,57,Other Medical,Wales,United Kingdom,52.1306607,-3.7837117,2020-04-15,uk_and_medscape
Sara Trollope,51,Nurse,England,United Kingdom,52.3555177,-1.1743197,2020-04-11,uk_and_medscape
Peter Tun,62,Other,England,United Kingdom,52.3555177,-1.1743197,2020-04-13,uk_and_medscape
Craig Wakeham,59,Doctor,England,United Kingdom,52.3555177,-1.1743197,NA,uk_and_medscape
Stephanie Wilcocks,NA,Retired,England,United Kingdom,52.3555177,-1.1743197,NA,uk_and_medscape
Cheryl Williams,NA,Other,England,United Kingdom,52.3555177,-1.1743197,2020-04-12,uk_and_medscape
Mark Woolcock,60,Other Medical,England,United Kingdom,52.3555177,-1.1743197,NA,uk_and_medscape
Jermaine Wright,45,Other Medical,England,United Kingdom,52.3555177,-1.1743197,2020-04-27,uk_and_medscape
Habib Zaidi,76,Doctor,England,United Kingdom,52.3555177,-1.1743197,2020-03-25,uk_and_medscape
Larni Zuniga,53,Nurse,England,United Kingdom,52.3555177,-1.1743197,2020-04-24,uk_and_medscape
Abdel Babiker,70,Doctor,NA,United Kingdom,55.378051,-3.435973,2020-05-18,uk
Alanzo Smith,62,Doctor,NA,United Kingdom,55.378051,-3.435973,2020-05-10,uk
Julie Edward,NA,Nurse,NA,United Kingdom,55.378051,-3.435973,NA,uk
Karamat Ullah Mirza,84,Doctor,NA,United Kingdom,55.378051,-3.435973,2020-05-10,uk
Anujkumar Kuttikkottu Pavithran,NA,Nurse,NA,United Kingdom,55.378051,-3.435973,2020-04-27,uk
Mahadaye Jagroop,NA,Nurse,NA,United Kingdom,55.378051,-3.435973,2020-04-22,uk
Yusuf Patel,NA,Doctor,NA,United Kingdom,55.378051,-3.435973,2020-04-20,uk
Josephine Matseke Manini Peter,56,Nurse,NA,United Kingdom,55.378051,-3.435973,2020-04-18,uk
Jane Murphy,73,Other Medical,NA,United Kingdom,55.378051,-3.435973,NA,uk
Amor Padilla Gatinao,50,Nurse,NA,United Kingdom,55.378051,-3.435973,2020-04-10,uk
Fayez Ayache,76,Doctor,NA,United Kingdom,55.378051,-3.435973,2020-04-08,uk
Syed Zishan Haider,79,Doctor,NA,United Kingdom,55.378051,-3.435973,2020-04-04,uk
Francis Olabode Ajanlekoko,53,Doctor,NA,United Kingdom,55.378051,-3.435973,2020-04-02,uk
Sami Shousha,79,Doctor,NA,United Kingdom,55.378051,-3.435973,2020-04-02,uk
Erwin Spannagl,58,Doctor,NA,United Kingdom,55.378051,-3.435973,2020-03-29,uk
Luigi Ablondi,66,Other,NA,Italy,41.87194,12.56738,2020-03-16,italy_and_medscape
Abdel Sattar Airoud,74,Doctor,NA,Italy,41.87194,12.56738,2020-03-16,italy_and_medscape
Vincenza Amato,65,Doctor,NA,Italy,41.87194,12.56738,2020-03-24,italy_and_medscape
Carlo Amodio,NA,Other Medical,NA,Italy,41.87194,12.56738,2020-04-05,italy_and_medscape
Gennaro Annarumma,NA,Unknown,NA,Italy,41.87194,12.56738,2020-04-03,italy_and_medscape
Gaetano Autore,68,Doctor,NA,Italy,41.87194,12.56738,2020-03-25,italy_and_medscape
Domenico Bardelli,75,Doctor,NA,Italy,41.87194,12.56738,2020-03-20,italy_and_medscape
Maurizio Bertaccini,68,Doctor,NA,Italy,41.87194,12.56738,2020-04-14,italy_and_medscape
Gianbattista Bertolasi,NA,Doctor,NA,Italy,41.87194,12.56738,2020-04-02,italy_and_medscape
Enrico Boggio,NA,Doctor,NA,Italy,41.87194,12.56738,2020-04-07,italy_and_medscape
Massimo Borghese,63,Doctor,NA,Italy,41.87194,12.56738,2020-03-18,italy_and_medscape
Giuseppe Borghi,64,Doctor,NA,Italy,41.87194,12.56738,2020-03-11,italy_and_medscape
Massimo Bosio,68,Doctor,NA,Italy,41.87194,12.56738,2020-04-01,italy_and_medscape
Eugenio Malachia Brianza,63,Doctor,NA,Italy,41.87194,12.56738,2020-04-08,italy_and_medscape
Emilio Brignole,NA,Doctor,NA,Italy,41.87194,12.56738,2020-04-09,italy_and_medscape
Giancarlo Buccheri,69,Doctor,NA,Italy,41.87194,12.56738,2020-04-07,italy_and_medscape
Antonio Buonomo,65,Other Medical,NA,Italy,41.87194,12.56738,2020-03-21,italy_and_medscape
Antonino Buttafuoco,66,Doctor,NA,Italy,41.87194,12.56738,2020-03-18,italy_and_medscape
Mario Calonghi,55,Doctor,NA,Italy,41.87194,12.56738,2020-03-22,italy_and_medscape
Giulio Calvi,72,Doctor,NA,Italy,41.87194,12.56738,2020-03-26,italy_and_medscape
Sebastiano Carbè,NA,Retired,NA,Italy,41.87194,12.56738,2020-04-06,italy_and_medscape
Andrea Carli,69,Doctor,NA,Italy,41.87194,12.56738,2020-03-19,italy_and_medscape
Marino Chiodi,70,Doctor,NA,Italy,41.87194,12.56738,2020-03-22,italy_and_medscape
Nabil Chrabie,61,Doctor,NA,Italy,41.87194,12.56738,2020-04-09,italy_and_medscape
Marcello Cifola,NA,Doctor,NA,Italy,41.87194,12.56738,2020-04-01,italy_and_medscape
Luigi Ciriotti,86,Retired,NA,Italy,41.87194,12.56738,2020-03-26,italy_and_medscape
Guglielmo Colabattista,NA,Retired,NA,Italy,41.87194,12.56738,2020-03-25,italy_and_medscape
Aurelio Maria Comelli,69,Doctor,NA,Italy,41.87194,12.56738,2020-03-28,italy_and_medscape
Benedetto Comotti,74,Doctor,NA,Italy,41.87194,12.56738,2020-03-26,italy_and_medscape
Francesco Consigliere,NA,Other Medical,NA,Italy,41.87194,12.56738,2020-04-03,italy_and_medscape
Gianfranco Conti,63,Doctor,NA,Italy,41.87194,12.56738,2020-05-15,italy_and_medscape
Davide Cordero,63,Doctor,NA,Italy,41.87194,12.56738,2020-05-12,italy_and_medscape
Francesco Cortesi,59,Doctor,NA,Italy,41.87194,12.56738,2020-04-09,italy_and_medscape
Antonio Costantini,68,Doctor,NA,Italy,41.87194,12.56738,2020-05-08,italy_and_medscape
Francesco Dall'Antonia,82,Retired,NA,Italy,41.87194,12.56738,2020-03-24,italy_and_medscape
Gianfranco D’Ambrosio,NA,Doctor,NA,Italy,41.87194,12.56738,2020-03-30,italy_and_medscape
Francesco De Alberti,NA,Retired,NA,Italy,41.87194,12.56738,2020-03-28,italy_and_medscape
Francesco De Francesco,82,Retired,NA,Italy,41.87194,12.56738,2020-03-23,italy_and_medscape
Domenico De Gilio,66,Doctor,NA,Italy,41.87194,12.56738,2020-03-19,italy_and_medscape
Giovanni Delnevo,72,Doctor,NA,Italy,41.87194,12.56738,2020-04-02,italy_and_medscape
Adelina Alvino De Martino,NA,Retired,NA,Italy,41.87194,12.56738,2020-03-30,italy_and_medscape
Antonio De Pisapia,NA,Doctor,NA,Italy,41.87194,12.56738,2020-04-06,italy_and_medscape
Vincenzo Emmi,NA,Other Medical,NA,Italy,41.87194,12.56738,2020-04-04,italy_and_medscape
Gino Fasoli,73,Retired,NA,Italy,41.87194,12.56738,2020-03-14,italy_and_medscape
Domenico Fatica,NA,Doctor,NA,Italy,41.87194,12.56738,2020-04-13,italy_and_medscape
Marta Ferrari,62,Doctor,NA,Italy,41.87194,12.56738,2020-05-05,italy_and_medscape
Giuseppe Finzi,62,Doctor,NA,Italy,41.87194,12.56738,2020-03-19,italy_and_medscape
Anna Maria Focarete,69,Other,NA,Italy,41.87194,12.56738,2020-03-27,italy_and_medscape
Francesco Foltrani,67,Doctor,NA,Italy,41.87194,12.56738,2020-03-19,italy_and_medscape
Giovanni Francesconi,90,Doctor,NA,Italy,41.87194,12.56738,2020-03-30,italy_and_medscape
Alfredo Franco,NA,Other Medical,NA,Italy,41.87194,12.56738,2020-05-09,italy_and_medscape
Luigi Frusciante,71,Doctor,NA,Italy,41.87194,12.56738,2020-03-15,italy_and_medscape
Bruna Galavotti,86,Doctor,NA,Italy,41.87194,12.56738,2020-03-19,italy_and_medscape
Maurizio Galderisi,65,Doctor,NA,Italy,41.87194,12.56738,2020-03-27,italy_and_medscape
Franco Galli,65,Doctor,NA,Italy,41.87194,12.56738,2020-03-17,italy_and_medscape
Ivano Garzena,48,Doctor,NA,Italy,41.87194,12.56738,2020-03-23,italy_and_medscape
Rosario Vittorio Gentile,67,Doctor,NA,Italy,41.87194,12.56738,2020-03-22,italy_and_medscape
Calogero Giabbarrasi,68,Doctor,NA,Italy,41.87194,12.56738,2020-03-24,italy_and_medscape
Orlandini Giancarlo,NA,Unknown,NA,Italy,41.87194,12.56738,2020-04-06,italy_and_medscape
Mario Giovita,65,Doctor,NA,Italy,41.87194,12.56738,2020-03-16,italy_and_medscape
Raffaele Giura,80,Doctor,NA,Italy,41.87194,12.56738,2020-03-13,italy_and_medscape
Angelo Gnudi,88,Retired,NA,Italy,41.87194,12.56738,2020-04-17,italy_and_medscape
Renzo Granata,68,Doctor,NA,Italy,41.87194,12.56738,2020-03-23,italy_and_medscape
Giandomenico Iannucci,NA,Doctor,NA,Italy,41.87194,12.56738,2020-04-02,italy_and_medscape
Salvatore Ingiulla,61,Doctor,NA,Italy,41.87194,12.56738,2020-04-06,italy_and_medscape
Norman Jones,72,Doctor,NA,Italy,41.87194,12.56738,2020-03-27,italy_and_medscape
Nabeel Khair,NA,Doctor,NA,Italy,41.87194,12.56738,2020-04-08,italy_and_medscape
Tahsin Khrisat,NA,Doctor,NA,Italy,41.87194,12.56738,2020-03-19,italy_and_medscape
Giuseppe Lanati,73,Doctor,NA,Italy,41.87194,12.56738,2020-03-12,italy_and_medscape
Cesare Landucci,69,Retired,NA,Italy,41.87194,12.56738,2020-05-26,italy_and_medscape
Michele Lauriola,67,Doctor,NA,Italy,41.87194,12.56738,2020-03-28,italy_and_medscape
Vincenzo Leone,65,Doctor,NA,Italy,41.87194,12.56738,2020-03-21,italy_and_medscape
Marco Lera,68,Doctor,NA,Italy,41.87194,12.56738,2020-03-20,italy_and_medscape
Gabriele Lombardi,68,Doctor,NA,Italy,41.87194,12.56738,2020-03-18,italy_and_medscape
Patrizia Longo,62,Doctor,NA,Italy,41.87194,12.56738,2020-04-13,italy_and_medscape
Roberto Mario Lovotti,69,Doctor,NA,Italy,41.87194,12.56738,2020-03-28,italy_and_medscape
Piero Lucarelli,74,Doctor,NA,Italy,41.87194,12.56738,2020-03-19,italy_and_medscape
Rosario Lupo,65,Other Medical,NA,Italy,41.87194,12.56738,2020-03-23,italy_and_medscape
Silvio Lussana,NA,Doctor,NA,Italy,41.87194,12.56738,2020-03-13,italy_and_medscape
Luigi Macori,70,Doctor,NA,Italy,41.87194,12.56738,2020-04-27,italy_and_medscape
Antonio Maghernino,59,Doctor,NA,Italy,41.87194,12.56738,2020-03-25,italy_and_medscape
Abdulghani Taki Makki,78,Doctor,NA,Italy,41.87194,12.56738,2020-03-24,italy_and_medscape
Elisabetta Mangiarini,NA,Doctor,NA,Italy,41.87194,12.56738,2020-04-15,italy_and_medscape
Leonardo Marchi,65,Doctor,NA,Italy,41.87194,12.56738,2020-03-21,italy_and_medscape
Giunio Matarazzo,NA,Doctor,NA,Italy,41.87194,12.56738,2020-04-07,italy_and_medscape
Ivan Mauri,69,Doctor,NA,Italy,41.87194,12.56738,2020-03-24,italy_and_medscape
Roberto Mileti,59,Doctor,NA,Italy,41.87194,12.56738,2020-03-30,italy_and_medscape
Gianroberto Monti,NA,Doctor,NA,Italy,41.87194,12.56738,2020-03-21,italy_and_medscape
Ghvont Mrad,NA,Doctor,NA,Italy,41.87194,12.56738,2020-03-29,italy_and_medscape
Dominique Musafiri,NA,Doctor,NA,Italy,41.87194,12.56738,2020-04-03,italy_and_medscape
Marcello Natali,56,Doctor,NA,Italy,41.87194,12.56738,2020-03-18,italy_and_medscape
Italo Nosari,NA,Doctor,NA,Italy,41.87194,12.56738,2020-04-03,italy_and_medscape
Luigi Paleari,70,Retired,NA,Italy,41.87194,12.56738,2020-03-23,italy_and_medscape
Leonardo Panini,NA,Doctor,NA,Italy,41.87194,12.56738,2020-05-21,italy_and_medscape
Alberto Paolini,NA,Unknown,NA,Italy,41.87194,12.56738,2020-04-03,italy_and_medscape
Riccardo Paris,NA,Doctor,NA,Italy,41.87194,12.56738,2020-04-03,italy_and_medscape
Carlo Alberto Passera,62,Doctor,NA,Italy,41.87194,12.56738,2020-03-25,italy_and_medscape
Raffaele Pempinello,76,Doctor,NA,Italy,41.87194,12.56738,2020-04-29,italy_and_medscape
Manuel Efraín Pérez,75,Doctor,NA,Italy,41.87194,12.56738,2020-04-20,italy_and_medscape
Paolo Peroni,NA,Doctor,NA,Italy,41.87194,12.56738,2020-03-30,italy_and_medscape
Dino Pesce,74,Doctor,NA,Italy,41.87194,12.56738,2020-03-26,italy_and_medscape
Alberto Pollini,56,Doctor,NA,Italy,41.87194,12.56738,2020-05-08,italy_and_medscape
Antonio Pouchè,NA,Retired,NA,Italy,41.87194,12.56738,2020-03-31,italy_and_medscape
Guido Riva,78,Doctor,NA,Italy,41.87194,12.56738,2020-03-30,italy_and_medscape
Luciano Riva,NA,Doctor,NA,Italy,41.87194,12.56738,2020-03-28,italy_and_medscape
Luigi Rocca,93,Doctor,NA,Italy,41.87194,12.56738,2020-03-26,italy_and_medscape
Mario Ronchi,NA,Doctor,NA,Italy,41.87194,12.56738,2020-03-20,italy_and_medscape
Flavio Roncoli,89,Retired,NA,Italy,41.87194,12.56738,NA,italy_and_medscape
Mario Rossi,NA,Doctor,NA,Italy,41.87194,12.56738,2020-04-09,italy_and_medscape
Fabio Rubino,55,Other Medical,NA,Italy,41.87194,12.56738,2020-04-12,italy_and_medscape
Mario Luigi Salerno,68,Doctor,NA,Italy,41.87194,12.56738,2020-03-28,italy_and_medscape
Ermenegildo Santangelo,72,Doctor,NA,Italy,41.87194,12.56738,2020-04-12,italy_and_medscape
Vincenzo Saponaro,59,Doctor,NA,Italy,41.87194,12.56738,2020-04-10,italy_and_medscape
Gianpaolo Sbardolini,NA,Doctor,NA,Italy,41.87194,12.56738,2020-03-26,italy_and_medscape
Marino Signori,61,Doctor,NA,Italy,41.87194,12.56738,2020-04-01,italy_and_medscape
Samar Sinjab,62,Doctor,NA,Italy,41.87194,12.56738,2020-04-09,italy_and_medscape
Giuseppe Aldo Spinazzola,NA,Doctor,NA,Italy,41.87194,12.56738,2020-03-31,italy_and_medscape
Marco Spissu,72,Doctor,NA,Italy,41.87194,12.56738,2020-04-15,italy_and_medscape
Manfredo Squeri,75,Retired,NA,Italy,41.87194,12.56738,2020-03-23,italy_and_medscape
Giovanni Stagnati,71,Doctor,NA,Italy,41.87194,12.56738,2020-03-22,italy_and_medscape
Roberto Stella,57,Doctor,NA,Italy,41.87194,12.56738,2020-03-11,italy_and_medscape
Valter Tarantini,71,Doctor,NA,Italy,41.87194,12.56738,2020-03-19,italy_and_medscape
Giulio Titta,73,Doctor,NA,Italy,41.87194,12.56738,2020-03-26,italy_and_medscape
Giovanni Battista Tommasino,NA,Doctor,NA,Italy,41.87194,12.56738,2020-04-04,italy_and_medscape
Gaetana Trimarchi,57,Doctor,NA,Italy,41.87194,12.56738,2020-03-30,italy_and_medscape
Marcello Ugolini,70,Doctor,NA,Italy,41.87194,12.56738,2020-03-27,italy_and_medscape
Edoardo Valli,62,Doctor,NA,Italy,41.87194,12.56738,2020-04-09,italy_and_medscape
Giuseppe Vasta,NA,Doctor,NA,Italy,41.87194,12.56738,2020-04-06,italy_and_medscape
Lorenzo Vella,NA,Doctor,NA,Italy,41.87194,12.56738,2020-03-29,italy_and_medscape
Carlo Vergani,82,Doctor,NA,Italy,41.87194,12.56738,2020-04-22,italy_and_medscape
Federico Vertemati,NA,Doctor,NA,Italy,41.87194,12.56738,2020-03-31,italy_and_medscape
Ivano Vezzulli,61,Doctor,NA,Italy,41.87194,12.56738,2020-03-17,italy_and_medscape
Leone Marco Wischkin,71,Doctor,NA,Italy,41.87194,12.56738,2020-03-27,italy_and_medscape
Roberto Zama,NA,Retired,NA,Italy,41.87194,12.56738,2020-04-12,italy_and_medscape
Carlo Zavaritt,80,Doctor,NA,Italy,41.87194,12.56738,2020-03-13,italy_and_medscape
Marzio Carlo Zennaro,NA,Doctor,NA,Italy,41.87194,12.56738,2020-04-08,italy_and_medscape
Riccardo Zucco,NA,Doctor,NA,Italy,41.87194,12.56738,2020-04-03,italy_and_medscape
Giuseppe,NA,Doctor,NA,Italy,41.87194,12.56738,2020-03-12,italy
Ravasio Luigi,NA,Unknown,NA,Italy,41.87194,12.56738,2020-04-06,italy
Gaetano,NA,Retired,NA,Italy,41.87194,12.56738,2020-04-08,italy
Arrigo Moglia,NA,Doctor,NA,Italy,41.87194,12.56738,2020-04-15,italy
Alberto Guidetti,NA,Doctor,NA,Italy,41.87194,12.56738,2020-04-15,italy
Alberto Omo,NA,Doctor,NA,Italy,41.87194,12.56738,2020-04-04,italy
Pietro Bellini,NA,Doctor,NA,Italy,41.87194,12.56738,2020-03-21,italy
Renzo Mattei,NA,Retired,NA,Italy,41.87194,12.56738,2020-04-16,italy
Eugenio Inglese,NA,Retired,NA,Italy,41.87194,12.56738,2020-03-21,italy
Vincenzo Frontera,NA,Doctor,NA,Italy,41.87194,12.56738,2020-04-17,italy
